Gene	fit_value	Predicted_Proximal_APA	Loci	209_1_CP	209_1_VZ	209_2_CP	209_2_VZ	209_3_CP	209_3_VZ	209_4_CP	209_4_VZ	334_1_CP	334_1_VZ	334_2_CP	334_2_VZ	334_3_CP	334_3_VZ	334_4_CP	334_4_VZ	336_1_CP	336_1_VZ	336_2_CP	336_2_VZ	336_3_CP	336_3_VZ	336_4_CP	336_4_VZ
NM_001365795.2|DAB1|chr1|-	380.2	57610951	chr1:57609682-57611102	0.01	0.04	0.02	0	0.01	0.08	0.02	0.03	0.01	0.01	0.03	0	0.01	0.03	0.02	0	0.01	0.01	0.03	0	0.01	0.03	0.01	0
NM_001145511.2|NFIA|chr1|+	1512.2	61922045	chr1:61920975-61928460	0.19	0.15	0.2	0.14	0.18	0.15	0.18	0.16	0.18	0.07	0.18	0.1	0.19	0.11	0.17	0.09	0.08	0.1	0.15	0.13	0.14	0.11	0.12	0.11
NM_001017416.2|USP1|chr1|+	1	62916268	chr1:62915917-62917475	1	1	0.97	0.98	1	1	1	1	0.98	0.96	1	0.98	1	0.96	1	0.97	0.97	0.99	1	1	1	1	0.94	0.98
NM_001206739.2|ITGB3BP|chr1|-	0.2	63906623	chr1:63906441-63906774	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1
NM_020925.4|CACHD1|chr1|+	0.5	65157157	chr1:65157006-65158736	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	NA	1	1	1	1	1
NM_001366836.3|LRRC7|chr1|+	1.1	70339975	chr1:70339150-70340687	0.93	0.96	0.91	0.98	0.85	0.92	0.9	0.94	0.93	0.95	0.96	0.94	0.95	0.98	0.93	0.91	0.91	0.92	0.86	0.89	0.92	0.9	0.91	0.95
NM_001366838.3|LRRC7|chr1|+	104.5	70589169	chr1:70587463-70610047	0.17	0.14	0.13	0.14	0.16	0.13	0.18	0.17	0.15	0.28	0.21	0.25	0.2	0.27	0.15	0.23	0.25	0.25	0.22	0.31	0.25	0.28	0.32	0.28
NM_173808.3|NEGR1|chr1|-	38.3	71870287	chr1:71861626-71873253	0.03	0.03	0.03	0.04	0.03	0.05	0.05	0.05	0.04	0.03	0.05	0.05	0.05	0.03	0.04	0.03	0.04	0.01	0.06	0.07	0.06	0.07	0.04	0.05
NM_001349105.2|ST6GALNAC3|chr1|+	30.6	77096632	chr1:77094305-77100288	0.09	0.02	0.08	0.06	0.1	0.12	0.07	0.03	0.09	0.1	0.07	0.09	0.07	0.01	0.06	0.03	0.08	0.07	0.1	0.01	0.08	0.03	0.09	0.02
NM_005482.3|PIGK|chr1|-	43.3	77556430	chr1:77554674-77558175	0.66	0.46	0.37	0.23	0.47	0.44	0.44	0.46	0.34	0.51	0.37	0.38	0.34	0.3	0.32	0.23	0.57	0.47	0.4	0.48	0.27	0.39	0.35	0.33
NM_001366003.1|ADGRL2|chr1|+	64.4	82458105	chr1:82456075-82459616	0.01	0.01	0.01	0	0.01	0	0.01	0	0.01	0.02	0.01	0.02	0	0	0.01	0.01	0.01	0.01	0	0.03	0.03	0.01	0.01	0.01
NM_001134445.2|DDAH1|chr1|-	275.8	85787100	chr1:85784168-85787251	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_032270.5|LRRC8C|chr1|+	1.8	90180707	chr1:90178268-90185092	NA	NA	0.76	NA	0.49	NA	NA	NA	NA	0.2	0.61	0.17	NA	0.13	0.8	0.23	NA	0.27	NA	NA	NA	NA	NA	0.24
NM_001252273.2|DIPK1A|chr1|-	0.1	93298440	chr1:93298286-93298591	1	1	1	1	1	1	0.95	1	NA	0.9	0.97	0.95	1	0.95	0.96	0.96	1	1	1	1	0.94	1	1	0.96
NM_001252271.2|DIPK1A|chr1|-	2	93309601	chr1:93307724-93309752	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_002061.4|GCLM|chr1|-	10.2	94353044	chr1:94350755-94354715	0.22	0.18	0.02	0.02	0.17	NA	0.09	0.21	0.04	0.02	0.07	0	0.09	0.05	0.06	0.04	0.09	0.06	0.08	0.1	0.18	0.02	0.03	0.11
NM_006496.4|GNAI3|chr1|+	1035.4	110136126	chr1:110134967-110142817	0.08	0.04	0.06	0.03	0.08	0.04	0.07	0.03	0.06	0.03	0.05	0.03	0.05	0.03	0.05	0.03	0.06	0.04	0.06	0.03	0.05	0.03	0.07	0.03
NM_001370216.1|RAP1A|chr1|+	5.3	112255735	chr1:112255053-112259317	0.84	0.86	0.67	0.67	0.83	0.98	0.82	1	0.74	0.35	0.53	0.18	0.47	0.17	0.47	0.32	0.54	0.44	0.34	0.17	0.48	0.29	0.46	0.25
NM_002884.4|RAP1A|chr1|+	5.3	112255735	chr1:112255053-112259313	0.84	0.86	0.67	0.67	0.83	0.98	0.82	1	0.74	0.35	0.53	0.18	0.47	0.17	0.47	0.32	0.54	0.44	0.34	0.17	0.48	0.29	0.46	0.25
NM_001323044.2|PHTF1|chr1|-	0.6	114239831	chr1:114239453-114240347	0.08	0.09	0	0.06	0.19	0.15	0.15	0	0.05	0.03	0.1	0.07	0.25	0.01	0.16	0.03	0.12	0.08	0.27	0	0	0.04	0.12	0
NM_001323049.2|PHTF1|chr1|-	158.1	114246638	chr1:114246442-114246789	0.32	0.21	0.37	0.23	0.37	0.27	0.38	0.39	0.13	0.28	0.43	0.25	0.36	0.27	0.32	0.31	0.5	0.27	0.71	0.19	0.42	0.34	0.57	0.36
NM_001323051.2|PHTF1|chr1|-	0.4	114248511	chr1:114248387-114248784	0.08	0.08	0.13	0.14	0.14	0.23	0.12	0.04	0.21	0.06	0.18	0.12	0.03	0.15	0.17	0.1	0.14	0.2	0.3	0.28	0.1	0.25	0.21	0.1
NM_006784.3|WDR3|chr1|+	46.7	118502678	chr1:118501915-118509166	0.03	0.03	0.05	0.05	0.05	0.03	0.02	0.03	0.04	0.02	0.03	0.02	0.05	0.02	0.05	0.01	0.03	0.02	0.03	0.02	0.02	0.03	0.04	0.02
NM_024408.4|NOTCH2|chr1|-	1271.9	120459166	chr1:120454176-120459317	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	NA	NA	1	NA	1
NM_001277444.1|NBPF9|chr1|+	2.3	144828692	chr1:144828541-144830407	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1
NM_001278191.2|TPM3|chr1|-	500.3	154128841	chr1:154127784-154130197	0.03	0.01	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.03	0	0.01	0.02
NM_001043352.2|TPM3|chr1|-	51703.8	154128841	chr1:154127784-154131524	0.06	0.02	0.03	0.05	0.04	0.06	0.05	NA	0.05	0.03	0.03	0.02	0.02	0.02	0.02	0.05	0.03	0.04	0.02	0.03	0.06	0.01	0.03	0.04
NR_002188.3|GBAP1|chr1|-	0.1	155184096	chr1:155183630-155184264	1	1	0.94	NA	1	NA	0.93	NA	1	0.91	0.94	0.82	0.93	0.92	0.89	1	0.88	0.97	0.92	0.88	0.85	0.94	1	0.79
NM_001323616.2|SMG5|chr1|-	5.8	156219362	chr1:156219015-156220461	0.98	0.96	0.99	1	1	0.99	0.99	0.95	0.98	0.99	0.98	0.99	1	0.98	0.99	0.98	0.98	0.97	1	1	1	0.98	0.99	0.96
NM_001204963.2|PBX1|chr1|+	2129.4	164819130	chr1:164818577-164821067	0.25	0.24	0.3	0.27	0.32	0.25	0.32	0.34	0.17	0.19	0.26	0.25	0.28	0.3	0.24	0.28	0.22	0.28	0.28	0.35	0.33	0.39	0.26	0.39
NM_001204961.2|PBX1|chr1|+	1872.8	164819130	chr1:164815821-164821068	0.35	0.33	0.43	0.35	0.44	0.36	0.46	0.46	0.23	0.26	0.35	0.35	0.37	0.41	0.32	0.38	0.29	0.39	0.41	0.5	0.46	0.53	0.36	0.54
NM_001353131.2|PBX1|chr1|+	1.3	164854283	chr1:164853779-164855284	0.98	1	0.98	1	0.97	0.93	0.97	1	1	1	0.99	1	0.92	0.98	1	0.95	0.96	0.98	0.96	1	0.97	1	0.98	0.96
NM_001353130.1|PBX1|chr1|+	1872.5	164819130	chr1:164815821-164821067	0.35	0.33	0.43	0.35	0.44	0.36	0.46	0.46	0.23	0.26	0.35	0.35	0.37	0.41	0.32	0.38	0.29	0.39	0.41	0.5	0.46	0.53	0.36	0.54
NM_001136127.3|DNM3|chr1|+	429.3	172380670	chr1:172376912-172381857	0.58	0.35	0.83	NA	0.67	NA	0.71	NA	0.43	0.23	0.65	NA	0.73	NA	0.56	NA	0.34	0.48	0.64	NA	0.57	NA	0.59	0.4
NM_021165.4|BRINP2|chr1|+	1.3	177250950	chr1:177249548-177251558	0.99	0.97	0.98	1	0.97	0.9	0.99	0.97	0.98	0.98	0.97	0.99	0.98	0.99	0.97	0.98	0.98	0.97	0.94	0.94	0.96	1	0.96	0.98
NM_170692.4|RASAL2|chr1|+	87.8	178443185	chr1:178442210-178447985	0.84	0.97	0.94	NA	1	NA	0.86	NA	0.71	0.61	0.76	NA	0.87	NA	0.64	0.75	1	0.45	NA	NA	NA	NA	0.8	NA
NM_001252512.2|SOAT1|chr1|+	216.9	179323709	chr1:179322720-179327815	0.17	0.14	0.19	0.16	0.16	0.17	0.21	0.12	0.18	0.09	0.19	0.08	0.11	0.08	0.18	0.1	0.09	0.1	0.12	0.06	0.07	0.09	0.1	0.09
NM_032360.4|ACBD6|chr1|-	0.1	180257447	chr1:180257365-180257652	1	1	1	NA	1	NA	0.97	1	0.99	1	0.97	0.96	0.95	0.93	1	0.95	0.99	1	1	0.96	0.98	1	0.97	0.99
NM_001174061.2|SMG7|chr1|+	8.5	183521237	chr1:183520953-183523326	0.96	0.92	0.99	0.96	0.96	0.86	0.98	0.93	1	0.86	1	0.94	0.99	0.89	0.95	0.95	0.93	0.96	0.98	0.99	0.94	0.93	0.91	0.91
NM_201569.3|SMG7|chr1|+	0.8	183522263	chr1:183522112-183523326	1	0.99	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	0.99
NM_194314.3|ZBTB41|chr1|-	25.2	197127004	chr1:197122812-197129144	0.51	0.44	0.59	0.27	0.52	0.85	0.36	0.6	0.27	0.13	0.37	0.29	0.31	0.28	0.37	0.28	0.26	0.44	0.24	0.33	0.39	0.61	0.4	0.32
NM_133494.3|NEK7|chr1|+	1.7	198289926	chr1:198288542-198291550	NA	1	NA	1	1	0.94	NA	0.89	0.93	1	NA	0.93	NA	0.93	NA	1	NA	0.98	NA	0.87	NA	0.91	NA	1
NM_001167858.2|PPP1R12B|chr1|+	0.4	202407152	chr1:202406949-202407370	0.11	0.18	0.08	0.19	0.11	0.15	0.16	0.06	0.12	0.21	0.17	0.16	0.16	0.29	0.12	0.14	0.09	0.21	0.21	0.13	0.12	0.08	0.19	0.25
NM_002481.4|PPP1R12B|chr1|+	51.1	202551901	chr1:202549602-202559724	0.93	NA	1	0.48	1	NA	NA	0.71	NA	0.8	1	1	NA	NA	1	0.85	NA	1	NA	NA	NA	NA	NA	0.83
NM_001377446.1|SRGAP2|chr1|+	0.3	206629270	chr1:206629119-206629505	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1
NM_001300952.2|SRGAP2|chr1|+	2326.8	206627641	chr1:206627490-206629505	1	NA	1	NA	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	NA	1	NA	1	1
NM_001170637.4|SRGAP2|chr1|+	313.3	206634533	chr1:206634382-206637776	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001170564.3|HHAT|chr1|+	0.1	210848722	chr1:210847630-210849632	NA	1	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	1	NA	1	NA	0.94	NA	1	NA	NA	NA	1
NM_001243512.1|ESRRG|chr1|-	0.2	216678810	chr1:216676588-216680525	0.13	NA	0.4	NA	0.05	NA	0.28	NA	NA	0.27	NA	0	NA	NA	0	0.05	0.07	0.38	0.19	NA	NA	0.24	0.13	0.05
NM_001243509.2|ESRRG|chr1|-	0.2	216678810	chr1:216676593-216680525	0.13	NA	0.4	NA	0.05	NA	0.28	NA	NA	0.27	NA	0	NA	NA	0	0.05	0.07	0.38	0.19	NA	NA	0.24	0.13	0.05
NM_004446.3|EPRS1|chr1|-	0.3	220142085	chr1:220141942-220142298	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.98	1	1	0.99	1	1
NM_145214.3|TRIM11|chr1|-	0.7	228582802	chr1:228581377-228582953	1	NA	1	NA	1	NA	0.99	NA	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1
NM_018230.3|NUP133|chr1|-	93.1	229577045	chr1:229576006-229577787	0.04	0.04	0.06	0.07	0.08	0.07	0.09	0.02	0.06	0.04	0.04	0.04	0.05	0.04	0.06	0.08	0.06	0.04	0.08	0.05	0.04	0.03	0.04	0.02
NM_001301365.1|LYST|chr1|-	0.6	235825788	chr1:235824331-235826378	0.59	0.65	0.52	NA	0.52	0.45	0.52	NA	0.6	0.36	0.78	NA	0.57	NA	0.48	0.53	0.57	0.62	NA	NA	0.64	NA	0.59	0.3
NM_000081.4|LYST|chr1|-	0.6	235825788	chr1:235824341-235826378	0.59	0.65	0.52	NA	0.52	0.45	0.52	NA	0.6	0.36	0.78	NA	0.57	NA	0.48	0.53	0.57	0.62	NA	NA	0.64	NA	0.59	0.3
NM_001291939.1|MTR|chr1|+	5.2	237063582	chr1:237060858-237067281	1	NA	NA	NA	0.75	NA	1	NA	0.81	0.5	0.55	0.62	NA	0.33	NA	0.59	0.38	0.35	NA	NA	NA	NA	0.53	NA
NM_001374807.1|RGS7|chr1|-	18.4	240938814	chr1:240938042-240939513	0.02	0.1	0.01	0.04	0.01	0	0.03	0.04	0.01	0.02	0.01	0.02	0.01	0	0.01	0	0.02	0.02	0.03	0	0.02	0.06	0.01	0
NM_001350116.1|RGS7|chr1|-	0.4	240939118	chr1:240938814-240939513	0.97	1	0.98	0.96	0.99	1	0.97	1	0.94	0.88	0.91	0.92	0.92	0.89	0.9	0.92	0.93	0.95	0.89	0.93	0.95	0.97	0.93	0.98
NM_001375963.1|SMYD3|chr1|-	0.1	245912739	chr1:245912649-245912966	1	NA	0.99	NA	1	NA	1	NA	1	1	0.98	1	1	0.98	1	1	1	1	0.96	1	1	1	0.99	1
NM_032752.3|ZNF496|chr1|-	13.3	247464427	chr1:247460717-247464578	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NR_047524.1|LINC01128|chr1|+	133.4	789767	chr1:788771-794826	1	0.87	1	0.83	1	0.65	1	0.99	1	0.82	1	0.9	1	0.73	1	0.84	0.93	0.78	1	0.64	1	0.77	0.93	0.58
NM_033489.3|CDK11B|chr1|-	0.2	1570951	chr1:1570603-1571218	0.54	0.4	0.45	NA	0.6	NA	0.6	NA	0.58	0.6	0.58	0.55	0.44	0.47	0.47	0.5	0.67	0.49	0.72	NA	0.55	0.48	0.64	0.49
NM_001353642.2|NADK|chr1|-	0.8	1683958	chr1:1682671-1684499	0.99	1	1	0.95	1	1	1	0.95	1	0.99	1	0.98	0.95	0.98	1	1	0.99	0.96	1	0.97	0.98	0.89	0.97	0.99
NM_001409.4|MEGF6|chr1|-	0.4	3406483	chr1:3404515-3407153	0.27	0.5	0.59	0.21	0.45	NA	0.35	NA	0.39	0.5	0.34	0.41	0.6	0.51	0.42	0.46	0.18	0.44	NA	0.15	NA	NA	0.34	0.17
NM_004402.4|DFFB|chr1|+	1.4	3800364	chr1:3800071-3801993	1	NA	0.96	1	1	0.92	0.92	NA	1	1	1	0.98	0.95	0.97	0.91	0.98	0.95	0.95	0.9	0.9	1	1	1	0.93
NM_015102.5|NPHP4|chr1|-	0.2	5923314	chr1:5922871-5923465	1	1	1	NA	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99
NM_001199861.2|KCNAB2|chr1|+	1.1	6158696	chr1:6158545-6161240	1	1	1	NA	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1
NM_181864.3|ACOT7|chr1|-	0.3	6324436	chr1:6324332-6324755	1	NA	1	NA	1	NA	1	NA	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001265592.2|PLEKHG5|chr1|-	0.3	6527481	chr1:6527182-6527632	1	1	1	1	1	NA	1	0.99	1	1	1	1	1	1	1	1	1	1	1	NA	1	0.97	1	1
